titles,genre,developers,publishers
Cabela's Big Game Hunter 2010,"Hunting,Fishing",Cauldron,Activision
Cabela's Big Game Hunter 2012,"Hunting,Fishing",Cauldron,Activision
Cabela's Big Game Hunter: Pro Hunts,"Hunting,Fishing",Cauldron,Activision
Cabela's Big Game Hunter: Hunting Party,"Hunting,Fishing",Activision,Activision
Cabela's Dangerous Hunts 2009,"Hunting,Fishing",Fun Labs,Activision
Cabela's Dangerous Hunts 2011,"Hunting,Fishing",Cauldron,Activision
Cabela's Dangerous Hunts 2013,"Hunting,Fishing",Cauldron,Activision
Cabela's Hunting Expeditions,"Hunting,Fishing",Fun Labs,Activision
Cabela's North American Adventures,"Hunting,Fishing",Fun Labs,Activision
Cabela's Outdoor Adventures,"Hunting,Fishing",Activision,Activision
Cabela's Survival: Shadows of Katmaii,"Hunting,Fishing",Fun Labs,Activision
Cabela's Trophy Bucks,"Hunting,Fishing",Fun Labs,Activision
Caladrius,Vertically scrolling shooter,MOSS,MOSS
Call of Duty: Classic,Classics,Infinity Ward,Activision
Call of Duty 2[note 7],First-person shooter,Infinity Ward,Activision
Call of Duty 3,First-person shooter,Treyarch,Activision
Call of Duty 4: Modern Warfare,First-person shooter,Infinity Ward,Activision
Call of Duty: Advanced Warfare,First-person shooter,"Sledgehammer Games, High Moon Studios",Activision
Call of Duty: Black Ops,First-person shooter,Treyarch,Activision
Call of Duty: Black Ops II,First-person shooter,Treyarch,Activision
Call of Duty: Black Ops III,First-person shooter,"Treyarch, Beenox",Activision
Call of Duty: Ghosts,First-person shooter,Infinity Ward,"Activision, Square EnixJP"
Call of Duty: Modern Warfare 2,First-person shooter,Infinity Ward,Activision
Call of Duty: Modern Warfare 3,First-person shooter,"Infinity Ward, Sledgehammer Games",Activision
Call of Duty: World at War,First-person shooter,Treyarch,Activision
Call of Juarez,"First-person shooter, Western",Techland,Ubisoft
Call of Juarez: Bound in Blood,"First-person shooter, Western",Techland,Ubisoft
Call of Juarez: Gunslinger,Shooter,Techland,Ubisoft
Call of Juarez: The Cartel,"First-person shooter, Western",Techland,Ubisoft
Capcom Arcade Cabinet,Classics,"Capcom, M2",Capcom
Capcom Digital Collection[note 8],Compilation,Capcom,Capcom
Capsized,Action & Adventure,Alientrap,Namco Bandai Games
Captain America: Super Soldier,Action,Next Level Games,Sega
Carcassonne,Card & Board,Sierra Entertainment,Xbox Game Studios
"Carnival Games: Monkey See, Monkey Do",Party,Cat Daddy Games,2K Play
Carrier Command: Gaea Mission,"Real-time strategy, Action",Bohemia Interactive,"Bohemia Interactive, Mastertronic, Rising Star Games"
Cars,"Racing, Adventure",Rainbow Studios,THQ
Cars 2,"Racing, Adventure",Avalanche Software,Disney Interactive Studios
Cars 3: Driven to Win,Racing,Avalanche Software,Warner Bros. Interactive Entertainment
Cars Mater-National Championship,Racing,Rainbow Studios,THQ
Cars Race-O-Rama,Racing,Rainbow Studios,THQ
Cartoon Network: Punch Time Explosion,Fighting,Papaya Studio,"Crave Entertainment US, Deep Silver UK"
Castle Crashers,Role Playing,The Behemoth,Xbox Game Studios
Castle of Illusion Starring Mickey Mouse,Action & Adventure,Sega Studios Australia,Sega
CastleStorm,Strategy & Simulation,Zen Studios,Xbox Game Studios
Castlevania: Harmony of Despair,Action & Adventure,Konami,Konami
Castlevania: Lords of Shadow,"Action-adventure, Platformer","MercurySteam, Kojima Productions",Konami
Castlevania: Lords of Shadow 2,"Action-adventure, Platformer","MercurySteam, Kojima Productions",Konami
Castlevania: Lords of Shadow – Mirror of Fate,Action & Adventure,MercurySteam,Konami
Castlevania: Symphony of the Night,Classics,Konami/Digital Eclipse,Konami
Catan,Card & Board,Big Huge Games,Xbox Game Studios
Catherine,"Puzzle Platform, Survival Horror, Adult",Atlus Persona Team,Atlus
"Cave, TheThe Cave",Action & Adventure,Double Fine Productions,Sega
CellFactor: Psychokinetic Wars,Shooter,Immersion GamesTimeline Interactive,Ubisoft
Centipede & Millipede,Classics,Stainless Games/Atari,Atari
Champion Jockey: G1 Jockey & Gallop Racer,Horse Racing,Koei,Tecmo Koei
Championship Manager 2007,"Sports, Sports Management",Beautiful Game,Eidos Interactive
Chaos;Head Love Chu Chu!,"Visual novel, Romantic Comedy",5pb.,5pb.
Chaos;Head Noah,Visual novel,5pb.,5pb.
Chaotic: Shadow Warriors,Action,Activision,Activision
Charlie Murder,Fighting,Ska Studios,Xbox Game Studios
Chessmaster Live,Card & Board,Ubisoft,Ubisoft
Child of Eden,"Rail Shooter, Music",Q Entertainment,Ubisoft
Child of Light,Role Playing,Ubisoft Montreal,Ubisoft
Chime,Puzzle & Trivia,Zoë Mode,Valcon Games
Chivalry: Medieval Warfare,Fighting,Torn Banner Studios,Activision
Choplifter HD,Action & Adventure,InXile Entertainment,Konami
Chromehounds,Tank & Mecha Sim,From Software,Sega
Civilization Revolution,Turn-based Strategy,Firaxis Games,2K Games
Clannad,Visual novel,Key,Prototype
Clash of the Titans,Action-adventure,Namco Bandai Games,Namco Bandai Games
Clive Barker's Jericho,First-person shootersurvival horror,MercurySteamAlchemic Productions,Codemasters
Cloning Clyde,Platformer,NinjaBee,Xbox Game Studios
Cloudberry Kingdom,Platformer,Pwnee Studios,Ubisoft
Cloudy with a Chance of Meatballs,Platform,Ubisoft Shanghai,Ubisoft
Cobalt,Puzzle & Trivia,Oxeye Game Studio,Xbox Game Studios
Code 18,Visual novel,CyberFront,CyberFront
Coffeetime Crosswords,Puzzle & Trivia,Voltex,Konami
College Hoops 2K6,Sports,Visual Concepts,2K Sports
College Hoops 2K7,Sports,Visual Concepts,2K Sports
College Hoops 2K8,Sports,Visual Concepts,2K Sports
Combat Wings: The Great Battles of WWII,Combat flight simulation game,CI Games,CI Games
Comic Jumper:The Adventures of Captain Smiley,Platformer,Twisted Pixel Games,Xbox Game Studios
Comix Zone,Classics,Backbone Entertainment,Sega
