titles,genre,developers,publishers
Goblin Commander: Unleash the Horde,"Action,Real-time strategy",Jaleco Entertainment,Jaleco Entertainment
The Godfather: The Game,Action-Adventure,Electronic Arts,Electronic Arts
Godzilla: Destroy All Monsters Melee,Fighting,Pipeworks Software,Infogrames
Godzilla: Save the Earth,Fighting,Pipeworks Software,Atari
GoldenEye: Rogue Agent,First-person shooter,EA Los Angeles,EA Games
Gotcha!,First-person shooter,Sixteen Tons Entertainment,Global Star Software
Grabbed by the Ghoulies,"Action-Adventure,Beat 'em up",Rare,Xbox Game Studios
Grand Theft Auto III,Third-person Action-Adventure,Rockstar Vienna,Rockstar Games
Grand Theft Auto: San Andreas,Third-person Action-Adventure,Rockstar North,Rockstar Games
Grand Theft Auto: Vice City,Third-person Action-Adventure,Rockstar Vienna,Rockstar Games
Gravity Games Bike: Street. Vert. Dirt.,Extreme Sports,Midway Games,Midway Games
The Great Escape,"Action-Adventure,Stealth",Pivotal Games,Gotham Games
Greg Hastings Tournament Paintball,First-person shooter,WXP,Activision
Greg Hastings' Tournament Paintball Max'd,First-person shooter,WXP,Activision
Grooverider: Slot Car Thunder,Racing,King of the Jungle,Encore
Group S Challenge  CIRCUS DRIVE  (JP),Racing,Capcom,Capcom
Guilty Gear Isuka[1],Fighting,Sammy,Sammy
Guilty Gear X2#Reload[2],Fighting,Sammy,Sammy
Gun,Action-Adventure,Neversoft,Activision
Gun Metal,"Shooting,Flight Simulator",Rage Software,Majesco Entertainment
GunGriffon: Allied Strike,"Simulation,Mecha",Game Arts,Tecmo
Gunvalkyrie,Third-person shooter,Smilebit,Sega
The Guy Game,Puzzle,Topheavy Studios,Gathering of Developers
Half-Life 2,First-person shooter,Valve,Valve
Halo: Combat Evolved,First-person shooter,Bungie,Xbox Game Studios
Halo 2,First-person shooter,Bungie,Xbox Game Studios
Halo 2 Multiplayer Map Pack,First-person shooter,Bungie,Xbox Game Studios
Harry Potter and the Chamber of Secrets,Third-person Action-Adventure,Eurocom,EA Games
Harry Potter and the Goblet of Fire,Third-person Action-Adventure,EA UK,Electronic Arts
Harry Potter and the Prisoner of Azkaban,Third-person Action-Adventure,EA Games,EA Games
Harry Potter and the Sorcerer's Stone  Harry Potter and the Philosopher's Stone (PAL),Third-person Action-Adventure,Warthog Games,EA Games
Harry Potter: Quidditch World Cup,"Sports,Action",EA Games,EA Games
The Haunted Mansion,Third-person Action-Adventure,High Voltage Software,TDK Mediactive
Headhunter Redemption,Action-Adventure,Amuze,Sega
Hello Kitty: Roller RescueHello Kitty: Mission Rescue (AS),"Action-Adventure,Racing",XPEC Entertainment,Namco
Heroes of the Pacific,Combat Flight Simulator,IR Gurus,"Codemasters, Ubisoft"
High Heat Major League Baseball 2004,Sports,3DO,3DO
High Rollers Casino,"Casino,Simulation",Cinemaware,Mud Duck Productions
Hitman: Blood Money,Stealth,IO Interactive,Eidos Interactive
Hitman: Contracts,Stealth,IO Interactive,Eidos Interactive
Hitman 2: Silent Assassin,Stealth,IO Interactive,Eidos Interactive
The Hobbit,"Action-Adventure,Platformer",Inevitable Entertainment,Vivendi Universal Games
Hot Wheels: Stunt Track Challenge,Racing,Climax,THQ
The House of the Dead III,Rail Shooter,Wow Entertainment,Sega
Hulk,Action,Radical Entertainment,Vivendi Universal Games
Hummer Badlands,Racing,Eutechnyx,2K Games
Hunter: The Reckoning,Hack and slash,High Voltage Software,Interplay Entertainment
Hunter: The Reckoning: Redeemer,Hack and slash,High Voltage Software,Vivendi Universal Games
The Hustle: Detroit Streets,Billiards,Blade Interactive,Activision Value
I-Ninja,Platformer,Argonaut Games,Namco
Ice Age 2: The Meltdown,Platformer,Eurocom,Vivendi Universal Games
IHRA Drag Racing 2004,Racing,Bethesda Softworks,Bethesda Softworks
IHRA Drag Racing: Sportsman Edition,Racing,Bethesda Softworks,Bethesda Softworks
IHRA Professional Drag Racing 2005,Racing,Bethesda Softworks,Bethesda Softworks
Innocent Tears,"RPG,Tactics",Global A Entertainment,Kobi
The Incredible Hulk: Ultimate Destruction,"Third-person Action-Adventure,Beat 'em up",Radical Entertainment,Vivendi Universal Games
The IncrediblesMr. Incredible (JP),Action-Adventure,Heavy Iron Studios,THQ
The Incredibles: Rise of the Underminer,Action-Adventure,Heavy Iron Studios,THQ
Indiana Jones and the Emperor's Tomb,Third-person Action-Adventure,The Collective,LucasArts
Indigo Prophecy  Fahrenheit (PAL),"Interactive Movie,Action-Adventure",Quantic Dream,Atari
IndyCar Series,Racing,Codemasters,Codemasters
IndyCar Series 2005,Racing,Codemasters,Codemasters
Inside Pitch 2003,Sports,Xbox Game Studios,Xbox Game Studios
The Italian Job,Racing,Climax Group,Eidos Interactive
Intellivision Lives!,Arcade Compilations,Realtime Associates,Crave Entertainment
International Superstar Soccer 2,Sports,KCEO,Konami
Iron Phoenix,"Action,Fighting",InterServ International,Sega
Jacked,Racing,Sproing,Empire Interactive
Jade Empire,Action RPG,BioWare,Xbox Game Studios
James Cameron's Dark Angel,Beat 'em up,Radical Entertainment,Vivendi Universal Games
Jaws Unleashed,Action-Adventure,Appaloosa Interactive,Majesco Entertainment
Jet Set Radio Future,"Action,Sports",Smilebit,SEGA
